firstName,lastName,pass1,creditCard,expDate
Kate,Evtykhova,Kate Evtykhova,5555000066667777,03/30
John,Smith,John Smith,4111111111111111,04/30
Anna,Johnson,Anna Johnson,4012888888881881,05/30
Michael,Williams,Michael Williams,5555666677778888,06/30
Maria,Brown,Maria Brown,4222222222222222,04/30
Peter,Jones,Peter Jones,5555000066667777,07/30
Elena,Garcia,Elena Garcia,4111111111111111,07/30
Ivan,Miller,Ivan Miller,4012888888881881,04/30
Olga,Davis,Olga Davis,5555666677778888,03/30
Alex,Wilson,Alex Wilson,4222222222222222,09/30
